title,brand,price,mrp,description,net_quantity,manufacturer,country_of_origin,mfg_date,expiry_date,platform,seller,product_url,image_urls,category,rating,reviews_count,extracted_at,compliance_score,compliance_status,issues_found,compliance_details
Powder,,250.0,,,,,,,,amazon,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDQyMjM3MzgzNzQ4Mzc1OjE3NjQ4MDkzNDY6c3BfYXRmOjMwMDgyMzkxODUxMTgzMjo6MDo6&url=%2FAlgEnergy-Nutra-Organic-Moringa-Powder%2Fdp%2FB0FXSFXF88%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.U6A63ZDAq39qlnYX0PIyRmQrmN_xxrkFUEIJBvNvWESALv2yYVLEs6IE7HYGJbCer1w2qkYYb76EsAOQVMWkwBAFOHIqab9lvcbmididpCJiR5Hshj129pEzLnxe0TPE2vSVeT5ZQCX0lWJTWJhcC0eHQp_4woUyzVN_MmxPjpprhowH0o6bHDYQ5WTqVkYj8IcEqzU6978pLUrQLzI30M0WAlleUuw-hxiETQ3i6hvMmIKOdlFLVSECCJEqVoZBcO_XXO26k7K2eoz1cnVaynLRtysVrpJjHVAypaoiTYI.QsQ3YnwM82A3sYbeYOG-RzSuI_6t7IeaFOMWsNSTntM%26dib_tag%3Dse%26keywords%3Dorganic%2Bitems%26qid%3D1764809346%26sr%3D8-1-spons%26aref%3DHxr3aCSBq6%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=Hxr3aCSBq6&sp_cr=ZAZ,https://m.media-amazon.com/images/I/61dLb0pVi8L._AC_UL320_.jpg,,,,2025-12-04 06:19:09,,,,
Powder,,528.0,,,,,,,,amazon,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDQyMjM3MzgzNzQ4Mzc1OjE3NjQ4MDkzNDY6c3BfYXRmOjMwMDgwNDkyNjI5MzczMjo6MDo6&url=%2FBaidyanath-Asli-Ayurved-Certified-Drumstick%2Fdp%2FB0FZBRY5MG%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.U6A63ZDAq39qlnYX0PIyRmQrmN_xxrkFUEIJBvNvWESALv2yYVLEs6IE7HYGJbCer1w2qkYYb76EsAOQVMWkwBAFOHIqab9lvcbmididpCJiR5Hshj129pEzLnxe0TPE2vSVeT5ZQCX0lWJTWJhcC0eHQp_4woUyzVN_MmxPjpprhowH0o6bHDYQ5WTqVkYj8IcEqzU6978pLUrQLzI30M0WAlleUuw-hxiETQ3i6hvMmIKOdlFLVSECCJEqVoZBcO_XXO26k7K2eoz1cnVaynLRtysVrpJjHVAypaoiTYI.QsQ3YnwM82A3sYbeYOG-RzSuI_6t7IeaFOMWsNSTntM%26dib_tag%3Dse%26keywords%3Dorganic%2Bitems%26qid%3D1764809346%26sr%3D8-2-spons%26aref%3DlbgsBnFFMm%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=lbgsBnFFMm&sp_cr=ZAZ,https://m.media-amazon.com/images/I/71eN8ktjK2L._AC_UL320_.jpg,,,,2025-12-04 06:19:09,,,,
Powder,,349.0,,,,,,,,amazon,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDQyMjM3MzgzNzQ4Mzc1OjE3NjQ4MDkzNDY6c3BfYXRmOjMwMDgzNjI5NTIxODIzMjo6MDo6&url=%2FOrganic-Moringa-Powder-Health-Supplement%2Fdp%2FB0G1BQPVFF%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.U6A63ZDAq39qlnYX0PIyRmQrmN_xxrkFUEIJBvNvWESALv2yYVLEs6IE7HYGJbCer1w2qkYYb76EsAOQVMWkwBAFOHIqab9lvcbmididpCJiR5Hshj129pEzLnxe0TPE2vSVeT5ZQCX0lWJTWJhcC0eHQp_4woUyzVN_MmxPjpprhowH0o6bHDYQ5WTqVkYj8IcEqzU6978pLUrQLzI30M0WAlleUuw-hxiETQ3i6hvMmIKOdlFLVSECCJEqVoZBcO_XXO26k7K2eoz1cnVaynLRtysVrpJjHVAypaoiTYI.QsQ3YnwM82A3sYbeYOG-RzSuI_6t7IeaFOMWsNSTntM%26dib_tag%3Dse%26keywords%3Dorganic%2Bitems%26qid%3D1764809346%26sr%3D8-3-spons%26aref%3DLmstoAqtGx%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=LmstoAqtGx&sp_cr=ZAZ,https://m.media-amazon.com/images/I/51sgT2XqrzL._AC_UL320_.jpg,,5.0,,2025-12-04 06:19:09,,,,
Powder,,279.0,,,,,,,,amazon,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDQyMjM3MzgzNzQ4Mzc1OjE3NjQ4MDkzNDY6c3BfYXRmOjMwMDgyMDU4MDE0NzQzMjo6MDo6&url=%2FFarmyard-Drumstick-Nutrient-Rich-Superfood-Digestion%2Fdp%2FB0FTMCBBM4%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.U6A63ZDAq39qlnYX0PIyRmQrmN_xxrkFUEIJBvNvWESALv2yYVLEs6IE7HYGJbCer1w2qkYYb76EsAOQVMWkwBAFOHIqab9lvcbmididpCJiR5Hshj129pEzLnxe0TPE2vSVeT5ZQCX0lWJTWJhcC0eHQp_4woUyzVN_MmxPjpprhowH0o6bHDYQ5WTqVkYj8IcEqzU6978pLUrQLzI30M0WAlleUuw-hxiETQ3i6hvMmIKOdlFLVSECCJEqVoZBcO_XXO26k7K2eoz1cnVaynLRtysVrpJjHVAypaoiTYI.QsQ3YnwM82A3sYbeYOG-RzSuI_6t7IeaFOMWsNSTntM%26dib_tag%3Dse%26keywords%3Dorganic%2Bitems%26qid%3D1764809346%26sr%3D8-4-spons%26aref%3Dxy6bQJG7YS%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=xy6bQJG7YS&sp_cr=ZAZ,https://m.media-amazon.com/images/I/71RYeXBT6+L._AC_UL320_.jpg,,,,2025-12-04 06:19:09,,,,
Powder,,221.0,,,,,,,,amazon,,https://www.amazon.in/TATA-Product-Essential-Nutrition-Superfood/dp/B01JCFDX4S/ref=sr_1_5_mod_primary_new?dib=eyJ2IjoiMSJ9.U6A63ZDAq39qlnYX0PIyRmQrmN_xxrkFUEIJBvNvWESALv2yYVLEs6IE7HYGJbCer1w2qkYYb76EsAOQVMWkwBAFOHIqab9lvcbmididpCJiR5Hshj129pEzLnxe0TPE2vSVeT5ZQCX0lWJTWJhcC0eHQp_4woUyzVN_MmxPjpprhowH0o6bHDYQ5WTqVkYj8IcEqzU6978pLUrQLzI30M0WAlleUuw-hxiETQ3i6hvMmIKOdlFLVSECCJEqVoZBcO_XXO26k7K2eoz1cnVaynLRtysVrpJjHVAypaoiTYI.QsQ3YnwM82A3sYbeYOG-RzSuI_6t7IeaFOMWsNSTntM&dib_tag=se&keywords=organic+items&qid=1764809346&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-5,https://m.media-amazon.com/images/I/71rnpdNvxeL._AC_UL320_.jpg,,4.2,,2025-12-04 06:19:09,,,,
2K+ bought in past month,,84.0,,,,,,,,amazon,,https://www.amazon.in/Organic-Tattva-Jaggery-Powder-500g/dp/B00M57WTAU/ref=sr_1_6_f3_0o_fs_mod_primary_alm?dib=eyJ2IjoiMSJ9.U6A63ZDAq39qlnYX0PIyRmQrmN_xxrkFUEIJBvNvWESALv2yYVLEs6IE7HYGJbCer1w2qkYYb76EsAOQVMWkwBAFOHIqab9lvcbmididpCJiR5Hshj129pEzLnxe0TPE2vSVeT5ZQCX0lWJTWJhcC0eHQp_4woUyzVN_MmxPjpprhowH0o6bHDYQ5WTqVkYj8IcEqzU6978pLUrQLzI30M0WAlleUuw-hxiETQ3i6hvMmIKOdlFLVSECCJEqVoZBcO_XXO26k7K2eoz1cnVaynLRtysVrpJjHVAypaoiTYI.QsQ3YnwM82A3sYbeYOG-RzSuI_6t7IeaFOMWsNSTntM&dib_tag=se&keywords=organic+items&qid=1764809346&sbo=m6DjfpMzMLDmL8pSMKX8hw%3D%3D&sr=8-6,https://m.media-amazon.com/images/I/71THhYum+VL._AC_UL320_.jpg,,4.3,,2025-12-04 06:19:09,,,,
8K+ bought in past month,,84.0,,,,,,,,amazon,,https://www.amazon.in/TATA-Product-Substitute-Chemical-Digestion/dp/B084M3KZPS/ref=sr_1_7_f3_0o_fs_mod_primary_alm?dib=eyJ2IjoiMSJ9.U6A63ZDAq39qlnYX0PIyRmQrmN_xxrkFUEIJBvNvWESALv2yYVLEs6IE7HYGJbCer1w2qkYYb76EsAOQVMWkwBAFOHIqab9lvcbmididpCJiR5Hshj129pEzLnxe0TPE2vSVeT5ZQCX0lWJTWJhcC0eHQp_4woUyzVN_MmxPjpprhowH0o6bHDYQ5WTqVkYj8IcEqzU6978pLUrQLzI30M0WAlleUuw-hxiETQ3i6hvMmIKOdlFLVSECCJEqVoZBcO_XXO26k7K2eoz1cnVaynLRtysVrpJjHVAypaoiTYI.QsQ3YnwM82A3sYbeYOG-RzSuI_6t7IeaFOMWsNSTntM&dib_tag=se&keywords=organic+items&qid=1764809346&sbo=m6DjfpMzMLDmL8pSMKX8hw%3D%3D&sr=8-7,https://m.media-amazon.com/images/I/81+EUzlrRfL._AC_UL320_.jpg,,4.4,,2025-12-04 06:19:09,,,,
400+ bought in past month,,136.0,,,,,,,,amazon,,https://www.amazon.in/Pro-Nature-100-Organic-Panchratna/dp/B079H164JP/ref=sr_1_8_f3_0o_fs?dib=eyJ2IjoiMSJ9.U6A63ZDAq39qlnYX0PIyRmQrmN_xxrkFUEIJBvNvWESALv2yYVLEs6IE7HYGJbCer1w2qkYYb76EsAOQVMWkwBAFOHIqab9lvcbmididpCJiR5Hshj129pEzLnxe0TPE2vSVeT5ZQCX0lWJTWJhcC0eHQp_4woUyzVN_MmxPjpprhowH0o6bHDYQ5WTqVkYj8IcEqzU6978pLUrQLzI30M0WAlleUuw-hxiETQ3i6hvMmIKOdlFLVSECCJEqVoZBcO_XXO26k7K2eoz1cnVaynLRtysVrpJjHVAypaoiTYI.QsQ3YnwM82A3sYbeYOG-RzSuI_6t7IeaFOMWsNSTntM&dib_tag=se&keywords=organic+items&qid=1764809346&sr=8-8,https://m.media-amazon.com/images/I/81XVW1MIDML._AC_UL320_.jpg,,4.5,,2025-12-04 06:19:09,,,,
2K+ bought in past month,,75.0,,,,,,,,amazon,,https://www.amazon.in/Organic-Naturally-Processed-Farm-Fresh-Authentic/dp/B00M57X22E/ref=sr_1_9?dib=eyJ2IjoiMSJ9.U6A63ZDAq39qlnYX0PIyRmQrmN_xxrkFUEIJBvNvWESALv2yYVLEs6IE7HYGJbCer1w2qkYYb76EsAOQVMWkwBAFOHIqab9lvcbmididpCJiR5Hshj129pEzLnxe0TPE2vSVeT5ZQCX0lWJTWJhcC0eHQp_4woUyzVN_MmxPjpprhowH0o6bHDYQ5WTqVkYj8IcEqzU6978pLUrQLzI30M0WAlleUuw-hxiETQ3i6hvMmIKOdlFLVSECCJEqVoZBcO_XXO26k7K2eoz1cnVaynLRtysVrpJjHVAypaoiTYI.QsQ3YnwM82A3sYbeYOG-RzSuI_6t7IeaFOMWsNSTntM&dib_tag=se&keywords=organic+items&qid=1764809346&sr=8-9,https://m.media-amazon.com/images/I/613Kw0HaeML._AC_UL320_.jpg,,4.4,,2025-12-04 06:19:09,,,,
Whole Natural,,112.0,,,,,,,,amazon,,https://www.amazon.in/Organic-Tattva-Groundnuts-Peanuts-500g/dp/B00M57WJQ4/ref=sr_1_10_f3_0o_fs_mod_primary_alm?dib=eyJ2IjoiMSJ9.U6A63ZDAq39qlnYX0PIyRmQrmN_xxrkFUEIJBvNvWESALv2yYVLEs6IE7HYGJbCer1w2qkYYb76EsAOQVMWkwBAFOHIqab9lvcbmididpCJiR5Hshj129pEzLnxe0TPE2vSVeT5ZQCX0lWJTWJhcC0eHQp_4woUyzVN_MmxPjpprhowH0o6bHDYQ5WTqVkYj8IcEqzU6978pLUrQLzI30M0WAlleUuw-hxiETQ3i6hvMmIKOdlFLVSECCJEqVoZBcO_XXO26k7K2eoz1cnVaynLRtysVrpJjHVAypaoiTYI.QsQ3YnwM82A3sYbeYOG-RzSuI_6t7IeaFOMWsNSTntM&dib_tag=se&keywords=organic+items&qid=1764809346&sbo=m6DjfpMzMLDmL8pSMKX8hw%3D%3D&sr=8-10,https://m.media-amazon.com/images/I/51Si0M53FqL._AC_UL320_.jpg,,4.4,,2025-12-04 06:19:09,,,,
