epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1442.37,0.28471,1.21615,0.89237,0.999,1,0.995,0.995,0.11271,0.43035,0.74439,0.000276682,0.000276682,0.000276682
2,3185.69,0.14021,0.31938,0.8241,0.99968,1,0.995,0.995,0.11419,0.29315,0.72926,0.000543373,0.000543373,0.000543373
3,4619.66,0.13486,0.25909,0.81824,0.99982,1,0.995,0.995,0.08345,0.23023,0.71848,0.000799068,0.000799068,0.000799068
4,5965.3,0.12262,0.22618,0.81775,0.99978,1,0.995,0.995,0.08327,0.20188,0.70987,0.00078352,0.00078352,0.00078352
5,7408.18,0.11913,0.19871,0.81424,0.99987,1,0.995,0.995,0.07755,0.1762,0.70676,0.000767026,0.000767026,0.000767026
6,9128.58,0.1081,0.1816,0.81451,0.99982,1,0.995,0.995,0.08659,0.17216,0.70577,0.000750533,0.000750533,0.000750533
7,11133.7,0.10293,0.16579,0.81352,0.99985,1,0.995,0.995,0.08051,0.14256,0.70747,0.00073404,0.00073404,0.00073404
8,12904.5,0.097,0.15476,0.81273,0.99987,1,0.995,0.995,0.06348,0.1123,0.6989,0.000717546,0.000717546,0.000717546
9,14188.4,0.0983,0.14897,0.81109,0.99985,1,0.995,0.995,0.0661,0.11439,0.69543,0.000701053,0.000701053,0.000701053
10,15468.5,0.09236,0.13921,0.81065,0.99956,1,0.995,0.995,0.0607,0.11552,0.68388,0.000684559,0.000684559,0.000684559
11,16745.8,0.08941,0.13453,0.81043,0.99984,1,0.995,0.995,0.06223,0.10167,0.69713,0.000668066,0.000668066,0.000668066
12,18000.3,0.08416,0.12641,0.80938,0.99985,1,0.995,0.995,0.05169,0.08719,0.66201,0.000651573,0.000651573,0.000651573
13,19283.7,0.08511,0.12574,0.81,0.99986,1,0.995,0.995,0.05311,0.09498,0.66212,0.000635079,0.000635079,0.000635079
14,20566.6,0.08386,0.12109,0.8096,0.99986,1,0.995,0.995,0.05904,0.09314,0.66558,0.000618586,0.000618586,0.000618586
15,21846.4,0.07862,0.11637,0.81036,0.99987,1,0.995,0.995,0.05148,0.07579,0.66574,0.000602092,0.000602092,0.000602092
16,23129.4,0.07982,0.11594,0.81051,0.99985,1,0.995,0.99102,0.06349,0.09981,0.66798,0.000585599,0.000585599,0.000585599
17,24409.8,0.07976,0.11245,0.80879,0.99986,1,0.995,0.995,0.05228,0.07336,0.66605,0.000569106,0.000569106,0.000569106
18,25692.4,0.07716,0.10992,0.81042,0.99988,1,0.995,0.995,0.04643,0.07241,0.66383,0.000552612,0.000552612,0.000552612
